Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,156350,05.01.2015 09:31,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Negociere,Pretul cel mai scazut,"61,112.00",EUR,Offline,NU,NU,50532300-6,Servicii de reparare si de intretinere a generatoarelor (Rev.2)
2,156370,05.01.2015 09:46,MULTI-TRANS SA,RO555397,Covasna,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,150,000.00",RON,Offline,NU,NU,09134220-5,Motorina (EN 590) (Rev.2)
3,156374,05.01.2015 11:45,INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PROTECTIA MEDIULUI,27282590,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"410,000.00",RON,Offline,NU,DA,38433000-9,Spectrometre (Rev.2)
4,156382,05.01.2015 11:48,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"3,090,385.00",RON,Offline,NU,DA,45221000-2,"Lucrari de constructii de poduri si tuneluri, puturi si pasaje subterane (Rev.2)"
5,156383,05.01.2015 13:52,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2,17093691,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"380,859.99",RON,Offline,NU,NU,15411200-4,Ulei pentru gatit (Rev.2)
6,156386,05.01.2015 14:07,MUNICIPIUL BRAILA,4205670,Braila,Lucrari,NU,Negociere,Pretul cel mai scazut,"4,646,408.16",RON,Offline,NU,DA,45212314-0,Lucrari de constructii de monumente istorice sau memoriale (Rev.2)
7,156384,06.01.2015 01:30,Serviciul de Ambulanta Judetean Bihor,7551740,Bihor,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,600,000.00",RON,Offline,DA,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
8,156391,06.01.2015 01:30,JUDETUL MARAMURES (CONSILIUL JUDETEAN MARAMURES),3627315,Maramures,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"6,295,480.03",RON,Offline,DA,DA,43211000-5,Buldozere (Rev.2)
9,156371,06.01.2015 01:30,UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI,4701606,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,150,860.00",RON,Offline,DA,DA,38425000-0,Echipament pentru mecanica fluidelor (Rev.2)
10,156397,06.01.2015 01:30,JUDETUL VASLUI,3394171,Vaslui,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"7,469,841.76",RON,Offline,DA,DA,45232150-8,Lucrari pentru conducte de alimentare cu apa (Rev.2)
11,156352,06.01.2015 01:30,SPITALUL CLINIC JUDETEAN DE URGENTA SF.SPIRIDON IASI,4701312,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"908,292.00",RON,Offline,DA,NU,33141110-4,Pansamente (Rev.2)
12,156388,06.01.2015 01:30,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"719,354.00",RON,Offline,DA,DA,38432000-2,Aparate de analiza (Rev.2)
13,156389,06.01.2015 01:30,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,362,912.00",RON,Offline,DA,DA,31710000-6,Echipament electronic (Rev.2)
14,156364,06.01.2015 01:30,"ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA ,,SITUATII DE URGENTA SUD MUNTENIA""",26187310,Teleorman,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"5,099,790.00",RON,Offline,DA,DA,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
15,156390,06.01.2015 01:30,JUDETUL MARAMURES (CONSILIUL JUDETEAN MARAMURES),3627315,Maramures,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"63,528,413.20",RON,Offline,DA,DA,45222110-3,Lucrari de constructii de rampe de deseuri (Rev.2)
16,156387,06.01.2015 01:30,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"678,683.00",RON,Offline,DA,DA,48461000-7,Pachete software analitice sau stiintifice (Rev.2)
17,156360,06.01.2015 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"8,674,400.00",RON,Offline,DA,NU,44111210-6,Ciment de foraj (Rev.2)
18,156377,06.01.2015 01:30,"Institutul National de Cercetare-Dezvoltare Aerospatiala ""Elie Carafoli"" - I.N.C.A.S. Bucuresti",RO 434670,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"669,845.00",RON,Offline,DA,DA,42500000-1,Echipamente de racire si de ventilare (Rev.2)
19,156381,06.01.2015 01:30,"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Botosani,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,774,930.00",RON,Online,DA,NU,33183300-9,Aparate de osteosinteza (Rev.2)
20,156372,06.01.2015 01:30,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,063,159.88",RON,Offline,DA,DA,34114200-1,Masini de politie (Rev.2)
21,156355,06.01.2015 01:30,Compania Judeteana Apa Serv S.A. Neamt,RO15346437,Neamt,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"77,175,000.00",RON,Offline,DA,DA,71541000-2,Servicii de gestionare a proiectelor de constructii (Rev.2)
22,156402,06.01.2015 01:30,DEPARTAMENTUL PENTRU EGALITATE DE SANSE INTRE FEMEI SI BARBATI,33160563,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"7,258,064.52",RON,Offline,DA,DA,79411000-8,Servicii generale de consultanta in management (Rev.2)
23,156357,06.01.2015 11:40,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,4547125,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"91,200.00",RON,Offline,NU,NU,24455000-8,Dezinfectanti (Rev.2)
24,156363,06.01.2015 11:41,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"3,611,226.30",RON,Offline,NU,NU,45255500-4,Lucrari de foraj si de explorare (Rev.2)
25,156366,06.01.2015 11:42,Societatea Nationala de Transport Gaze Naturale TRANSGAZ SA Medias,RO13068733,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"850,000.00",RON,Offline,NU,NU,50531300-9,Servicii de reparare si de intretinere a compresoarelor (Rev.2)
26,156367,06.01.2015 11:42,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"668,338.00",RON,Offline,NU,NU,60180000-3,Inchiriere de vehicule de transport de marfuri cu sofer (Rev.2)
27,156368,06.01.2015 11:43,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"84,224.00",RON,Offline,NU,NU,71335000-5,Studii tehnice (Rev.2)
28,156369,06.01.2015 11:43,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"786,600.00",RON,Offline,NU,NU,09122100-1,Propan (Rev.2)
